field_number,collector,species,locality,altitude,date,notes
HU 147,"Leopoldo Horst,, later, Kurt-Ingo Horst",pilosocereus pachycladus ssp. pachycladus,"North of Serra do Cabral, Minas Gerais, Brazil",9/9/1985,9/9/1985,= P. glaucescens?
HU 1756,"Leopoldo Horst,, later, Kurt-Ingo Horst",pilosocereus pachycladus ssp. pernambucoensis,"Alto Alegre, Piaui, Brazil",NA,NA,NA
HU 1944,"Leopoldo Horst,, later, Kurt-Ingo Horst",pilosocereus pachycladus,"behind Cabeluda, Bahia, Brazil","= AH436, GC367.04","= AH436, GC367.04","= AH436, GC367.04"
HU 402,"Leopoldo Horst,, later, Kurt-Ingo Horst",pilosocereus pachycladus,"Municipio Espinosa, Minas Gerais, Brazil",NA,NA,NA
HU 421,"Leopoldo Horst,, later, Kurt-Ingo Horst",pilosocereus pachycladus,"Brejinho das Amethistas, Bahia, Brazil",NA,NA,NA
HU 421a,"Leopoldo Horst,, later, Kurt-Ingo Horst",pilosocereus pachycladus,"Minas Gerais and Bahia, Brazil",NA,NA,NA
HU 477,"Leopoldo Horst,, later, Kurt-Ingo Horst",pilosocereus pachycladus ssp. pernambucoensis,"Parnamirim road, BR 232, Pernambuco, Brazil",1985,1985,NA
HU 714,"Leopoldo Horst,, later, Kurt-Ingo Horst",pilosocereus pachycladus,"18 km East of Rio Sao Joao, Minas Gerais, Brazil",5/9/1985,5/9/1985,= P. cyaneus according to DW
HU 891,"Leopoldo Horst,, later, Kurt-Ingo Horst",pilosocereus pachycladus,"MucugÍ, Bahia, Brazil",NA,NA,NA
HU 906,"Leopoldo Horst,, later, Kurt-Ingo Horst",pilosocereus pachycladus,"Seabra, Bahia, Brazil",NA,NA,NA
HU 921,"Leopoldo Horst,, later, Kurt-Ingo Horst",pilosocereus pachycladus ssp. pernambucoensis,"Tanquinho, Bahia, Brazil",NA,NA,NA
MZ 1632,Milan Zachar,pilosocereus pachycladus,"Stop II, Mato Verde Minas Gerais, Brazil",NA,NA,NA
NPT 1375,Nigel Paul Taylor,pilosocereus pachycladus,"Maçaroca to Barrinha, border with Municipio Juazeiro towards Senhor do Bonfim, Bahia, Brazil",470m,8/1/1991,NA
NPT 1398,Nigel Paul Taylor,pilosocereus pachycladus,"Jocobina w 27-28km towards Lajes, Bahia, Brazil",12/1/1991,12/1/1991,NA
NPT 1400,Nigel Paul Taylor,pilosocereus pachycladus,"Jocobina w 27km towards Lajes, Bahia, Brazil",12/1/1991,12/1/1991,NA
NPT 1406,Nigel Paul Taylor,pilosocereus pachycladus,"Morro do Chapeu w 21km, Bahia, Brazil",13/1/1991,13/1/1991,NA
NPT 1426,Nigel Paul Taylor,pilosocereus pachycladus,"Santana s 28km, Bahia, Brazil",530m,15/1/1991,NA
RITT 1223,Friedrich Ritter,pilosocereus pachycladus,"Urandi, Bahia, Brazil",seed,seed,seed
RITT 1223,Friedrich Ritter,pilosocereus pachycladus,"Below Monte Azul, Minas Gerais, Brazil",seed,seed,seed
RITT 1290,Friedrich Ritter,pilosocereus pachycladus,Brazil,= FR1223,= FR1223,= FR1223
RWB 464,Rudi Werner Büneker,pilosocereus pachycladus,Brazil,NA,NA,NA
