field_number,collector,species,locality,altitude,date,notes
PP 1252,Pavel Pavlíček,thelocactus conothelos,"El Coyote, San Luis Potosí, Mexico",NA,NA,NA
PP 1442,Pavel Pavlíček,thelocactus conothelos,"La Boquilla, Autoservis 20 km from Matehuala, San Luis Potosí, Mexico",robust form,robust form,robust form
PP 1445,Pavel Pavlíček,thelocactus conothelos,Mexico,"= LS512, PP1445","= LS512, PP1445","= LS512, PP1445"
PP 20,Pavel Pavlíček,thelocactus conothelos v. saussieri,"La Joya, Nuevo Leon, Mexico",NA,NA,NA
PP 24,Pavel Pavlíček,thelocactus conothelos ssp. argenteus,"Sandia Victoria, Nuevo Leon, Mexico",NA,NA,NA
PP 582,Pavel Pavlíček,thelocactus conothelos ssp. aurantiacus,"Marmolejos, Nuevo Leon, Mexico",1998/11,1998/11,"large, white spines, gold flowers"
PP 605,Pavel Pavlíček,thelocactus conothelos,"Tula, Municipio Tula, Tamaulipas, Mexico",1998/11,1998/11,NA
PP 609,Pavel Pavlíček,thelocactus conothelos,"Jaumave, Tamaulipas, Mexico",1998/11,1998/11,NA
PP 613,Pavel Pavlíček,thelocactus conothelos,"Avilla y Urbina, Tamaulipas, Mexico",1998/11,1998/11,NA
PP 846,Pavel Pavlíček,thelocactus conothelos ssp. saussieri,"Tula, Municipio Tula, Tamaulipas, Mexico",1998/11,1998/11,locality of Gymnocactus ysabelae
PP 847,Pavel Pavlíček,thelocactus conothelos ssp. argenteus,"Puentes, Nuevo Leon, Mexico",1998/11,1998/11,NA
PP 848,Pavel Pavlíček,thelocactus conothelos ssp. aurantiacus,"Aramberri, Municipio Aramberri, Nuevo Leon, Mexico",1998/11,1998/11,NA
REP 1056a,Werner Reppenhagen,thelocactus conothelos,"Doctor Arroyo, Nuevo León, Mexico",1900m,7/11/1975,"together with REP1054-1056a, Gymnocactus sp., Neolloydia sp., Coryphantha sp. and Echinocactus platyacanthus"
REP 1219,Werner Reppenhagen,thelocactus conothelos v. macdowellii,"Los Muertos, Nuevo León, Mexico",1300m,5/12/1976,together with REP1217-1219a
REP 513,Werner Reppenhagen,thelocactus conothelos v. macdowellii,"Quatro Cienegas, Coahuila, Mexico",800m,17/9/1971,"together with REP508-514a, Larrea tridentata, Opuntia cholla, O. kleiniae and Yucca sp."
REPP 1056a,Werner Reppenhagen,thelocactus conothelos,"Doctor Arroyo, Nuevo León, Mexico",1900m,7/11/1975,"together with REP1054-1056a, Gymnocactus sp., Neolloydia sp., Coryphantha sp. and Echinocactus platyacanthus"
REPP 1219,Werner Reppenhagen,thelocactus conothelos v. macdowellii,"Los Muertos, Nuevo León, Mexico",1300m,5/12/1976,together with REP1217-1219a
REPP 513,Werner Reppenhagen,thelocactus conothelos v. macdowellii,"Quatro Cienegas, Coahuila, Mexico",800m,17/9/1971,"together with REP508-514a, Larrea tridentata, Opuntia cholla, O. kleiniae and Yucca sp."
RS 1240,Roman Staník,thelocactus conothelos v. argenteus,"in the pass, hill on the right, San Ignacio del Texas, Nuevo Leon, Mexico",NA,NA,NA
RS 1247,Roman Staník,thelocactus conothelos,"Zaragosa, Nuevo Leon, Mexico",NA,NA,NA
RS 1273,Roman Staník,thelocactus conothelos v. macdowellii,"canyon opposite Ojo Caliente, Nuevo Leon, Mexico",NA,NA,NA
RS 1305,Roman Staník,thelocactus conothelos fma.?,"down, next to the road, just before Miquihuana slope on the right, Tamaulipas, Mexico",4/7/04,4/7/04,NA
RS 237,Roman Staník,thelocactus conothelos,"Tula, Tamaulipas, Mexico",26/4/93,26/4/93,= CSD62
RS 281,Roman Staník,thelocactus conothelos,"Guerrero, San Luis Potosi, Mexico on road behind Palmas",= CSD109,= CSD109,= CSD109
RS 287,Roman Staník,thelocactus conothelos,"behind Matehuala direction to Doctor Arroyo, La Soledad, San Luis Potosi, Mexico",= CSD115,= CSD115,= CSD115
RS 294,Roman Staník,thelocactus conothelos fma. saussieri,"km26, Route 3?, direction to Doctor Arroyo, Nuevo Leon, Mexico",= CSD122,= CSD122,= CSD122
RS 295,Roman Staník,thelocactus conothelos,"Lobera de Portillo, Nuevo Leon, Mexico",= CSD123,= CSD123,= CSD123
RS 302,Roman Staník,thelocactus conothelos,"Mier y Noriega, Nuevo Leon, Mexico",= CSD129,= CSD129,= CSD129
RS 311,Roman Staník,thelocactus conothelos v. aurantiacus,"Aramberi, Nuevo Leon, Mexico",= CSD137,= CSD137,= CSD137
RS 311,Roman Staník,thelocactus conothelos v. aurantiacus,"Marmolejo behind Aramberi, Nuevo Leon, Mexico","= RS311, = CSD149","= RS311, = CSD149","= RS311, = CSD149"
RS 558,Roman Staník,thelocactus conothelos v. argenteus,"Puentes, km25.5 direction to Sandia Victoria, Nuevo Leon, Mexico",1996,1996,NA
RS 686,Roman Staník,thelocactus conothelos,"Bustamante, Tamaulipas, Mexico",NA,NA,NA
