field_number,collector,species,locality,altitude,date,notes
NA,NA,NA,"El Hundido, Coahuila, Mexico",NA,NA,NA
NA,NA,NA,"Las Palmas, San Luis Potosí, Mexico",NA,NA,NA
NA,NA,NA,"El Herrero, San Luis Potosí, Mexico",NA,NA,NA
NA,NA,NA,"Piedra Blanca, San Luis Potosí, Mexico",NA,NA,NA
NA,NA,NA,"Fort Stockton, Texas, USA",NA,NA,NA
NA,NA,NA,"Lajitas, Texas, USA",NA,NA,NA
NA,NA,NA,"Lajitas-Terlingua Texas, USA",NA,NA,NA
NA,NA,NA,"Shafter, Texas, USA",NA,NA,NA
NA,NA,NA,"Terlingua Ranch, Texas, USA",NA,NA,NA
NA,NA,NA,"Mariposa Mine, Texas, USA",NA,NA,NA
NA,NA,NA,"Terlingua Ghost Town Texas, USA",NA,NA,NA
NA,NA,NA,"Fort Stockton East Texas, USA",NA,NA,NA
NA,NA,NA,"4km North of Hot Springs, Texas, USA",1998,1998,NA
NA,NA,NA,"Estanque Menchaca, first valley/I. hill, South-West of Parras-Minschaca, Coahuila, Mexico",2004,2004,NA
NA,NA,NA,"Estanque Menchaca first valley/II. hill, South-West of Parras to Minschaca, Coahuila, Mexico",2004,2004,NA
NA,NA,NA,"Estanque Menchaca, South-West of Parras to Minschaca, Coahuila, Mexico",2004,2004,NA
NA,NA,NA,"Estanque Menchaca, South-West of Parras to Minschaca, Coahuila, Mexico",2004,2004,NA
NA,NA,NA,"Estancion Marte to Sierra de la Paila, Coahuila, Mexico",2004,2004,NA
NA,NA,NA,"Las Liebres to Sierra de la Paila, Sierra de la Paila, Coahuila, Mexico",2004,2004,NA
NA,NA,NA,"Zona de Minas to Sierra de la Paila, Coahuila, Mexico",2004,2004,NA
NA,NA,NA,"12 km west Ocampo, Coahuila, Mexico",2004,2004,NA
NA,NA,NA,"Guevara, West of Ocampo, Coahuila, Mexico",2004,2004,NA
NA,NA,NA,"Rancho La Puerta, West of Ocampo, Coahuila, Mexico",2004,2004,NA
NA,NA,NA,"Ocampo to Galveston, West of Ocampo, Coahuila, Mexico",2004,2004,NA
NA,NA,NA,"18 km South-East of Ocampo, Coahuila, Mexico",2004,2004,NA
NA,NA,NA,"Santo Domingo, South-East Ocampo, Coahuila, Mexico",2004,2004,NA
NA,NA,NA,"Rancho El Espejo, South-East Ocampo, Coahuila, Mexico",2004,2004,NA
NA,NA,NA,"Parras- in gospel mill, Coahuila, Mexico",2004,2004,NA
NA,NA,NA,"North-East of ast of El Capulín, Parras, Coahuila, Mexico",2004,2004,NA
NA,NA,NA,"West of Abrevadero, Parras, Coahuila, Mexico",2004,2004,NA
NA,NA,NA,"classic locality, Rio Nazas, Durango, Mexico",19/03/2011,19/03/2011,NA
NA,NA,NA,"Ocampo, Coahuila, Mexico",01/01/2012,01/01/2012,NA
NA,NA,NA,"Sierra Ovejas, lok. Thel. lauseri, Coahuila, Mexico",10/02/2015,10/02/2015,NA
NA,NA,NA,"Coyame, Chihuahua, Mexico",1700m,28/4/1974,"together with Escobaria tuberculosa, Echinocereus dasyacanthus"
NA,NA,NA,"Coyame, Chihuahua, Mexico",1700m,28/4/1974,"together with Escobaria tuberculosa, Echinocereus dasyacanthus"
NA,NA,NA,"Big Bend National Park, Texas, USA",1989,1989,NA
NA,NA,NA,"Brewster County, Texas, USA",1989,1989,NA
NA,NA,NA,"Matehuala, San Luis Potosi, Mexico",NA,NA,NA
NA,NA,NA,"Matehuala, San Luis Potosi, Mexico",NA,NA,NA
NA,NA,NA,"Cuatro Cienegas, Coahuila, Mexico",NA,NA,NA
NA,NA,NA,"Matehuala, San Luis Potosi, Mexico",NA,NA,NA
NA,NA,NA,"Huizache, San Luis Potosi, Mexico",NA,NA,NA
NA,NA,NA,"Cuatrocienegas, Coahuila, Mexico",Mar-02,Mar-02,NA
NA,NA,NA,"Escondido Creek, Texas, USA",NA,NA,NA
NA,NA,NA,"Hacienda de Cedros, Zacatecas, Mexico",NA,NA,NA
NA,NA,NA,"Lajitas, Texas, USA",1999,1999,NA
NA,NA,NA,"Terlingua, Texas, USA",1999,1999,NA
NA,NA,NA,"Dagger Flats, Texas, USA",1999,1999,NA
NA,NA,NA,"Cuatrocienagas, Coahuila, Mexico",2000,2000,NA
NA,NA,NA,"Sierra Paila, Zona de Minas, Coahuila, Mexico",2000,2000,NA
NA,NA,NA,"Estation Marte, Coahuila, Mexico",2000,2000,NA
NA,NA,NA,"Paila, Mexico",NA,NA,NA
NA,NA,NA,"Big Bend National Park, Texas, USA",550-1400m,10/7/1987,NA
NA,NA,NA,"El Pueblito, Chihuahua, Mexico",1500m,NA,NA
NA,NA,NA,"Jose Maria Morelos, Coahuila, Mexico",NA,NA,NA
NA,NA,NA,"Villa Real, Coahuila, Mexico",NA,NA,NA
NA,NA,NA,"Cuatrocienegas, Coahuila, Mexico",NA,NA,NA
NA,NA,NA,"West of Cuatrocienegas, Coahuila, Mexico",NA,NA,NA
NA,NA,NA,"South of Matehuala, San Luis Potosi, Mexico",NA,NA,NA
NA,NA,NA,"Est. Marté, Sierra Paila, Coahuila, Mexico",NA,NA,NA
NA,NA,NA,"Parras, Coahuila, Mexico",NA,NA,NA
NA,NA,NA,"Cerro Bola, Coahuila, Mexico",NA,NA,NA
NA,NA,NA,"El Amparo, Coahuila, Mexico",NA,NA,NA
NA,NA,NA,"Estanque de Menchaca, Coahuila, Mexico",NA,NA,NA
NA,NA,NA,"Estanque de Menchaca, Coahuila, Mexico",NA,NA,NA
NA,NA,NA,"Cuatrocienegas, Coahuila, Mexico",NA,NA,NA
NA,NA,NA,"El Hundido, Coahuila, Mexico",NA,NA,NA
NA,NA,NA,"Matehuala, San Luis Potosí, Mexico",NA,NA,NA
NA,NA,NA,"Palmas, San Luis Potosí, Mexico",NA,NA,NA
NA,NA,NA,"West of Ocampo, Coahuila, Mexico",NA,NA,NA
NA,NA,NA,"West of Ocampo, 20km West of MMR9.1, Coahuila, Mexico",NA,NA,NA
NA,NA,NA,"Palmas II, San Luis Potosi, Mexico",NA,NA,NA
NA,NA,NA,"Cerro Bola, Coahuila, Mexico",NA,NA,NA
NA,NA,NA,"Cuatro Cienegas, Coahuila, Mexico",NA,NA,NA
NA,NA,NA,"Boquillas del Carmen, Coahuila, Mexico",NA,NA,NA
NA,NA,NA,"Stop III, Sierra de la Paila Coahuila, Mexico",NA,NA,NA
NA,NA,NA,"Sierra de la Paila, Coahuila, Mexico",NA,NA,NA
NA,NA,NA,"Sierra de Parras, Coahuila, Mexico",NA,NA,NA
NA,NA,NA,"Matehuala III, San Luis Potosi, Mexico",NA,NA,NA
NA,NA,NA,"El Herrero, San Luis Potosi, Mexico",NA,NA,NA
NA,NA,NA,"El Amparo, Coahuila, Mexico",NA,NA,NA
NA,NA,NA,"Estanzia Marte n 28km, Coahuila, Mexico",1300m,1986,NA
NA,NA,NA,"North of Estancia Marte, Coahuila, Mexico",1300m,NA,NA
NA,NA,NA,USA,1986,1986,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Cuatrocienegas, Coahuila, Mexico",NA,NA,NA
NA,NA,NA,"El Florenio, San Felipe, Zacatecas, Mexico",22/03/2006,22/03/2006,NA
NA,NA,NA,"Gallegos, Zacatecas, Mexico",2000m,23/03/2006,NA
NA,NA,NA,"El Capulin, Sierra El Capulin, North of Monclova, Coahuila, Mexico",27/03/2006,27/03/2006,NA
NA,NA,NA,"El Capulin, Sierra El Capulin, North of Monclova, Coahuila, Mexico",27/03/2006,27/03/2006,NA
NA,NA,NA,"Echido Nuevo Sacramento, Sierra El Capulin, North of Monclova, Coahuila, Mexico",28/03/2006,28/03/2006,NA
NA,NA,NA,"Los Charcos, Coahuila, Mexico",28/03/2006,28/03/2006,small form
NA,NA,NA,"Flat limestone rocks, gravel, Cuatrocienegas, Coahuila, Mexico",NA,NA,NA
NA,NA,NA,"Low hills, gravel, Ocampo, Coahuila, Mexico",NA,NA,NA
NA,NA,NA,"Limestone gravel, without vegetation, Parras, Coahuila, Mexico",NA,NA,NA
NA,NA,NA,"Southern slopes of the Sierra Parras, Coahuila, Mexico",1200-1410m,16-Nov-03,NA
NA,NA,NA,"highway MX30 North of San Pedro de las Colonias, Coahuila, Mexico",1080-1200m,19-Nov-03,NA
NA,NA,NA,"El Hundido, before Cuatrociénegas, Coahuila, Mexico",870m,20-Nov-03,NA
NA,NA,NA,"North of Cuatrociénegas, Coahuila, Mexico",840-970m,20-Nov-03,NA
NA,NA,NA,"Zona de Minas, Sierra la Paila, Coahuila, Mexico",1300-1450m,21-Nov-03,NA
NA,NA,NA,"Zona de Minas, Sierra la Paila, Coahuila, Mexico",1430m,22-Nov-03,NA
NA,NA,NA,"South of the Zona de Minas,Sierra la Paila, Coahuila, Mexico",1360m,22-Nov-03,NA
NA,NA,NA,"Sierra la Paila, North of San José de la Paila, Coahuila, Mexico",1630m,09-Nov-04,NA
NA,NA,NA,"South of Cuatrociénegas, Coahuila, Mexico",780-1020m,12-Nov-04,NA
NA,NA,NA,"Cuatro Ciénegas, Coahuila, Mexico",2014,2014,NA
