field_number,collector,species,locality,altitude,date,notes,source,geocode_query,geocode_type,lat,lon
HT 703,P. Hallet (plants collected by Alfred Bernhard Lau),ariocarpus fissuratus,"Coyame, Chihuahua, Mexico",1700m,28/4/1974,"together with Escobaria tuberculosa, Echinocereus dasyacanthus",bcss,"Coyame, Chihuahua, Mexico",direct,29.4615113,-105.0946093
IDD 1001,Igor D. Dráb,ariocarpus fissuratus v. intermedius,"San Rafael, Durango, Mexico",15/10/2007,15/10/2007,= IDD48/03,bcss,"San Rafael, Durango, Mexico",direct,24.320821,-104.7690479
IDD 112,Igor D. Dráb,ariocarpus fissuratus v. hintonii,"Palmas, before Matehuala, San Luis Potosí, Mexico",01/05/1997,01/05/1997,= CSD107,bcss,"Palmas, before Matehuala, San Luis Potosí, Mexico",direct,23.595880556,-100.657021111
IDD 229,Igor D. Dráb,ariocarpus fissuratus v. lloydii,"Parras, Coahuila, Mexico",12/05/1997,12/05/1997,= CSD220,bcss,"Parras, Coahuila, Mexico",direct,25.591946,-102.3839713
IDD 260,Igor D. Dráb,ariocarpus fissuratus,"Cuatro Cienegas, Coahuila, Mexico",14/05/1997,14/05/1997,= CSD245,bcss,"Cuatro Cienegas, Coahuila, Mexico",direct,26.6665018,-102.3791854
IDD 391,Igor D. Dráb,ariocarpus fissuratus,"Km 162, towards Cuatro Cienegas, Coahuila, Mexico",28/10/2000,28/10/2000,NA,bcss,"Km 162, towards Cuatro Cienegas, Coahuila, Mexico",direct,26.699103866,-102.298982671
IDD 48/03,Igor D. Dráb,ariocarpus fissuratus v. intermedius,"San Rafael, Durango, Mexico",15/10/2007,15/10/2007,= IDD1001,bcss,"San Rafael, Durango, Mexico",direct,24.320821,-104.7690479
ISI 349,International Succulent Introductions (previously International Succulent Institute),ariocarpus fissuratus,"30 miles South of Alpine, Texas, USA",3500feet,March 1960,Collected by W. H. Davis,bcss,"30 miles South of Alpine, Texas, USA",direct,30.36421,-103.66454
ISI 718,International Succulent Introductions (previously International Succulent Institute),ariocarpus fissuratus v. lloydii,"Near Parras de la Fuente, Coahuila, Mexico",March 1972,March 1972,Collected by C. Aguirre. See C&SJ 37:43,bcss,"Near Parras de la Fuente, Coahuila, Mexico",direct,25.440536593,-102.178418209
JJH 30322,Josef Jakob Halda,ariocarpus fissuratus,"Cuatro Cienegas, Coahuila, Mexico",NA,NA,NA,bcss,"Cuatro Cienegas, Coahuila, Mexico",direct,26.6665018,-102.3791854
JJH 303226,Josef Jakob Halda,ariocarpus fissuratus,"Monclova, Nuevo Leon, Mexico",NA,NA,NA,bcss,"Monclova, Nuevo Leon, Mexico",direct,25.8151655,-100.3969887
JJH 30323,Josef Jakob Halda,ariocarpus fissuratus,"North of Sierra de la Paila, Coahuila, Mexico",NA,NA,NA,bcss,"Sierra de la Paila, Coahuila, Mexico",direction_only,25.4214964,-100.9835202
JJH 30330,Josef Jakob Halda,ariocarpus fissuratus v. lloydii,"Parras de la Fuente, Coahuila, Mexico",NA,NA,NA,bcss,"Parras de la Fuente, Coahuila, Mexico",direct,25.4436602,-102.1782179
JJH 303309,Josef Jakob Halda,ariocarpus fissuratus v. lloydii,"Viesca, Coahuila, Mexico",NA,NA,NA,bcss,"Viesca, Coahuila, Mexico",direct,25.1900179,-102.8608673
JJH 30331,Josef Jakob Halda,ariocarpus fissuratus v. lloydii,"South of Sierra de la Paila, Coahuila, Mexico",NA,NA,NA,bcss,"Sierra de la Paila, Coahuila, Mexico",direction_only,25.4214964,-100.9835202
JJH 303315,Josef Jakob Halda,ariocarpus fissuratus v. lloydii,"East of Saltillo, Coahuila, Mexico",NA,NA,NA,bcss,"Saltillo, Coahuila, Mexico",direction_only,25.4230425,-100.9927509
JJH 303317,Josef Jakob Halda,ariocarpus fissuratus v. lloydii,"El Hundido, Coahuila, Mexico",NA,NA,NA,bcss,"El Hundido, Coahuila, Mexico",direct,26.6095619,-102.3034754
JJH 30335,Josef Jakob Halda,ariocarpus fissuratus ssp. hintonii,"Las Palmas, San Luis Potosí, Mexico",NA,NA,NA,bcss,"Las Palmas, San Luis Potosí, Mexico",direct,21.2734969,-98.7324597
JJH 30336,Josef Jakob Halda,ariocarpus fissuratus ssp. hintonii,"El Herrero, San Luis Potosí, Mexico",NA,NA,NA,bcss,"El Herrero, San Luis Potosí, Mexico",direct,23.5760188,-100.674581
JJH 30337,Josef Jakob Halda,ariocarpus fissuratus ssp. hintonii,"Piedra Blanca, San Luis Potosí, Mexico",NA,NA,NA,bcss,"Piedra Blanca, San Luis Potosí, Mexico",direct,23.5692228,-100.6418832
JM 122,Josef Mikuláš,ariocarpus fissuratus,"Fort Stockton, Texas, USA",NA,NA,NA,bcss,"Fort Stockton, Texas, USA",direct,30.891901,-102.883662
JM 154,John Miller,ariocarpus fissuratus,"Lajitas, Texas, USA",NA,NA,NA,bcss,"Lajitas, Texas, USA",direct,29.26222,-103.775817
JM 155,John Miller,ariocarpus fissuratus,"Lajitas-Terlingua Texas, USA",NA,NA,NA,bcss,"Lajitas-Terlingua Texas, USA",direct,29.263098,-103.770187
JM 172,John Miller,ariocarpus fissuratus,"Shafter, Texas, USA",NA,NA,NA,bcss,"Shafter, Texas, USA",direct,29.8173646,-104.3061281
JM 20,John Miller,ariocarpus fissuratus,"Terlingua Ranch, Texas, USA",NA,NA,NA,bcss,"Terlingua Ranch, Texas, USA",direct,29.4693411,-103.3760029
JM 25,John Miller,ariocarpus fissuratus,"Mariposa Mine, Texas, USA",NA,NA,NA,bcss,"Mariposa Mine, Texas, USA",direct,29.3182524,-103.6946325
JM 27,John Miller,ariocarpus fissuratus,"Terlingua Ghost Town Texas, USA",NA,NA,NA,bcss,"Terlingua Ghost Town Texas, USA",direct,29.3206607,-103.6151181
JM 38,John Miller,ariocarpus fissuratus,"Fort Stockton East Texas, USA",NA,NA,NA,bcss,"Fort Stockton East Texas, USA",direct,30.8953493,-102.8632018
JO 479,Josef Odehnal,ariocarpus fissuratus,"4km North of Hot Springs, Texas, USA",1998,1998,NA,bcss,"Hot Springs, Texas, USA",offset_adjusted,29.21364966423675,-102.9985803
KMR 100,Miroslav Kupčák,ariocarpus fissuratus v. lloydii,"Estanque Menchaca, first valley/I. hill, South-West of Parras-Minschaca, Coahuila, Mexico",2004,2004,NA,bcss,"Estanque Menchaca, first valley/I. hill, South-West of Parras-Minschaca, Coahuila, Mexico",direct,25.27482,-102.30103
KMR 100A,Miroslav Kupčák,ariocarpus fissuratus v. lloydii,"Estanque Menchaca first valley/II. hill, South-West of Parras to Minschaca, Coahuila, Mexico",2004,2004,NA,bcss,"Estanque Menchaca first valley/II. hill, South-West of Parras to Minschaca, Coahuila, Mexico",direct,25.503871718,-102.114668029
KMR 101,Miroslav Kupčák,ariocarpus fissuratus v. lloydii,"Estanque Menchaca, South-West of Parras to Minschaca, Coahuila, Mexico",2004,2004,NA,bcss,"Estanque Menchaca, South-West of Parras to Minschaca, Coahuila, Mexico",direct,25.26667,-102.3
KMR 101A,Miroslav Kupčák,ariocarpus fissuratus v. lloydii,"Estanque Menchaca, South-West of Parras to Minschaca, Coahuila, Mexico",2004,2004,NA,bcss,"Estanque Menchaca, South-West of Parras to Minschaca, Coahuila, Mexico",direct,25.26667,-102.3
KMR 76,Miroslav Kupčák,ariocarpus fissuratus ssp. pailanus,"Estancion Marte to Sierra de la Paila, Coahuila, Mexico",2004,2004,NA,bcss,"Estancion Marte to Sierra de la Paila, Coahuila, Mexico",direct,25.901326389,-101.742601667
KMR 76A,Miroslav Kupčák,ariocarpus fissuratus ssp. pailanus,"Las Liebres to Sierra de la Paila, Sierra de la Paila, Coahuila, Mexico",2004,2004,NA,bcss,"Las Liebres to Sierra de la Paila, Sierra de la Paila, Coahuila, Mexico",direct,25.901326389,-101.742601667
KMR 76B,Miroslav Kupčák,ariocarpus fissuratus ssp. pailanus,"Zona de Minas to Sierra de la Paila, Coahuila, Mexico",2004,2004,NA,bcss,"Zona de Minas to Sierra de la Paila, Coahuila, Mexico",direct,25.901326389,-101.742601667
KMR 92,Miroslav Kupčák,ariocarpus fissuratus,"12 km west Ocampo, Coahuila, Mexico",2004,2004,NA,bcss,"12 km west Ocampo, Coahuila, Mexico",direct,26.900629559458,-101.426582339321
KMR 92A,Miroslav Kupčák,ariocarpus fissuratus,"Guevara, West of Ocampo, Coahuila, Mexico",2004,2004,NA,bcss,"Guevara, West of Ocampo, Coahuila, Mexico",direct,27.31667,-102.48333
KMR 92B,Miroslav Kupčák,ariocarpus fissuratus,"Rancho La Puerta, West of Ocampo, Coahuila, Mexico",2004,2004,NA,bcss,"Rancho La Puerta, West of Ocampo, Coahuila, Mexico",direct,27.3,-102.48333
KMR 92C,Miroslav Kupčák,ariocarpus fissuratus,"Ocampo to Galveston, West of Ocampo, Coahuila, Mexico",2004,2004,NA,bcss,"Ocampo to Galveston, West of Ocampo, Coahuila, Mexico",direct,27.28333,-102.36667
