field_number,collector,species,locality,altitude,date,notes,source,geocode_query,geocode_type,lat,lon
RAP 321,Raimondo Paladini,eulychnia taltalensis,"Taltal, Monte Perales, II Region de Antofagasta, Chile",500 m,Jan / Feb 2014,NA,bcss,"Taltal, Monte Perales, II Region de Antofagasta, Chile",direct,-25.03514,-70.47454
RD 53,Rodrigo Dacal Barlow,eulychnia taltalensis,"North of Taltal, II, Chile",10-100m,15/02/2011,NA,bcss,"Taltal, II, Chile",direction_only,-25.4078293,-70.4858424
"GC 296,02",Graham Charles,Eulychnia taltalensis,Chile :  (N. Paposo),NA,NA,NA,clcactus,"N. Paposo, Chile",direct,-25.0094441,-70.4653417
"GC 299,02",Graham Charles,Eulychnia taltalensis,Chile :  (Above Paposo),NA,NA,NA,clcactus,"Above Paposo, Chile",direct,-25.0078338,-70.4647483
"GC 300,03",Graham Charles,Eulychnia taltalensis,Chile :  (Above Paposo),NA,NA,NA,clcactus,"Above Paposo, Chile",direct,-25.0078338,-70.4647483
"GC 301,03",Graham Charles,Eulychnia taltalensis,Chile :  (Above Paposo),NA,NA,NA,clcactus,"Above Paposo, Chile",direct,-25.0078338,-70.4647483
"GC 305,02",Graham Charles,Eulychnia taltalensis,Chile :  (Breas),NA,NA,NA,clcactus,"Breas, Chile",direct,-25.5644609,-70.3757238
"GC 730,03",Graham Charles,Eulychnia taltalensis,Chile :  (North of Taltal),NA,NA,NA,clcactus,"North of Taltal, Chile",direct,-25.408105,-70.484284
"GC 733,02",Graham Charles,Eulychnia taltalensis,Chile :  (North of Paposo),NA,NA,NA,clcactus,"North of Paposo, Chile",direct,-25.0078338,-70.4647483
"GC 734,02",Graham Charles,Eulychnia taltalensis,Chile :  (Above Paposo),NA,NA,NA,clcactus,"Above Paposo, Chile",direct,-25.0078338,-70.4647483
"GC 737,05",Graham Charles,Eulychnia taltalensis,Chile :  (Botija Valley),NA,NA,NA,clcactus,"Botija Valley, Chile",direct,-34.5959098,-71.3626101
HNS 223,HNS,Eulychnia taltalensis,"Chile : Antofagasta (above Playa Sara, 49m)",NA,NA,NA,clcactus,"above Playa Sara,, Antofagasta, Chile",direct,-25.34203,-69.86705
HNS 225,HNS,Eulychnia taltalensis,"Chile : Antofagasta (Reserva Nacional Poposo, 600m)",NA,NA,NA,clcactus,"Reserva Nacional Poposo,, Antofagasta, Chile",direct,-23.580389497864,-70.384389828375
HNS 228,HNS,Eulychnia taltalensis,"Chile : Antofagasta (Santunario Lidia Escobar Negra, 411m)",NA,NA,NA,clcactus,"Santunario Lidia Escobar Negra,, Antofagasta, Chile",direct,-23.6266015,-70.390128
JN 854,Jan Novák,Eulychnia taltalensis,"Chile : Antofagasta (above Playa Sara, 49 m)",NA,2012,NA,clcactus,"above Playa Sara,, Antofagasta, Chile",direct,-25.34203,-69.86705
JN 856,Jan Novák,Eulychnia taltalensis,"Chile : Antofagasta (Rezerva Nacional Paposo, 600 m)",NA,2012,NA,clcactus,"Rezerva Nacional Paposo,, Antofagasta, Chile",direct,-23.580389497864,-70.384389828375
JN 862,Jan Novák,Eulychnia taltalensis,"Chile : Antofagasta (Santunario Lidia Escobar Negra, 411 m)",NA,2012,NA,clcactus,"Santunario Lidia Escobar Negra,, Antofagasta, Chile",direct,-23.6266015,-70.390128
JN 1319,Jan Novák,Eulychnia taltalensis,"Chile : Antofagasta (Ruta 1 Paposo->Blanco Encalada, 48 m)",NA,2015,NA,clcactus,"Ruta 1 Paposo->Blanco Encalada,, Antofagasta, Chile",direct,-22.315100876286,-68.927487519206
JN 1701,Jan Novák,Eulychnia taltalensis,Chile : Antofagasta (Paposo - Blanco Encalada),NA,2018,NA,clcactus,"Paposo - Blanco Encalada, Antofagasta, Chile",direct,-24.3246006,-70.5403839
JN 2683,Jan Novák,Eulychnia taltalensis,Chile : Antofagasta (Quebrada Matancilla),NA,2024,NA,clcactus,"Quebrada Matancilla, Antofagasta, Chile",direct,-22.6586056,-68.2325952
JN 2687,Jan Novák,Eulychnia taltalensis,Chile : Antofagasta (Quebrada Portezuelo),NA,2024,NA,clcactus,"Quebrada Portezuelo, Antofagasta, Chile",direct,-25.2852424,-70.1429772
JN 2694,Jan Novák,Eulychnia taltalensis,Chile : Antofagasta (Cerro Mont Perrales),NA,2024,NA,clcactus,"Cerro Mont Perrales, Antofagasta, Chile",direct,-25.03514,-70.47454
KK 1278,Karel Kníže,Eulychnia taltalensis  Kníže n.n.,"Chile :  (Taltal,300m)",NA,NA,NA,clcactus,"Taltal,, Chile",direct,-25.4078293,-70.4858424
SV 90,Martin Švidrnoch,Eulychnia taltalensis,"Chile : Antofagasta (Ruta 1 Paposo->Blanco Encalada, 48 m)",NA,2015,NA,clcactus,"Ruta 1 Paposo->Blanco Encalada,, Antofagasta, Chile",direct,-22.315100876286,-68.927487519206
PH 253.03,Paul Hoxey,Eulychnia taltalensis,"Between Caleta Botija and Punta Plata, Antofagasta, Chile 60-250m",NA,11/02/01,NA,clcactus,"Between Caleta Botija and Punta Plata, Antofagasta, Chile",direct,-23.6266015,-70.390128
PH 254.03,Paul Hoxey,Eulychnia taltalensis,"Between Punta Plata and Paposo, Antofagasta, Chile 10m",NA,11/02/01,NA,clcactus,"Between Punta Plata and Paposo, Antofagasta, Chile",direct,-25.0078338,-70.4647483
PH 255.02,Paul Hoxey,Eulychnia taltalensis,"Between Punta Plata and Paposo, Antofagasta, Chile 40m",NA,11/02/01,NA,clcactus,"Between Punta Plata and Paposo, Antofagasta, Chile",direct,-25.0078338,-70.4647483
PH 256.02,Paul Hoxey,Eulychnia taltalensis,"Hills above Paposo, Antofagasta, Chile 530-720m",NA,11/02/01,NA,clcactus,"Hills above Paposo, Antofagasta, Chile",direct,-25.0078338,-70.4647483
PH 258.03,Paul Hoxey,Eulychnia taltalensis,"South side of Quebrada de San Ramón, Antofagasta, Chile 300-720m",NA,12/02/01,NA,clcactus,"South side of Quebrada de San Ramón, Antofagasta, Chile",direct,-25.38226,-70.45201
PH 259.03,Paul Hoxey,Eulychnia taltalensis,"Estación Breas, Antofagasta, Chile 660-880m",NA,13/02/01,NA,clcactus,"Estación Breas, Antofagasta, Chile",direct,-25.5060472,-70.4047966
PH 260.03,Paul Hoxey,Eulychnia taltalensis,"South of Taltal along coast, Antofagasta, Chile 70-160m",NA,13/02/01,NA,clcactus,"Taltal along coast, Antofagasta, Chile",direction_only,-25.408105,-70.484284
PH 443.03,Paul Hoxey,Eulychnia taltalensis,"Chile : 02 Antofagasta (Quebrada Iscuña, 80-400m)",NA,22/11/02,NA,clcactus,"Quebrada Iscuña,, 02 Antofagasta, Chile",direct,-24.57435,-70.55742
PH 445.03,Paul Hoxey,Eulychnia taltalensis,"Between Punta Plata and Paposo, Antofagasta, Chile 70m",NA,22/11/02,Same locality as PH255,clcactus,"Between Punta Plata and Paposo, Antofagasta, Chile",direct,-25.0078338,-70.4647483
PH 446.04,Paul Hoxey,Eulychnia taltalensis,"Hills above Paposo, Antofagasta, Chile 630-730m",NA,22/11/02,Same locality as PH256,clcactus,"Hills above Paposo, Antofagasta, Chile",direct,-25.0078338,-70.4647483
PH 447.03,Paul Hoxey,Eulychnia taltalensis,"Hills above Paposo, Antofagasta, Chile 780m",NA,23/11/02,NA,clcactus,"Hills above Paposo, Antofagasta, Chile",direct,-25.0078338,-70.4647483
PH 448.03,Paul Hoxey,Eulychnia taltalensis,"Coast North of Taltal, Antofagasta, Chile 30m",NA,23/11/02,NA,clcactus,"Coast North of Taltal, Antofagasta, Chile",direct,-25.408105,-70.484284
PH 449.08,Paul Hoxey,Eulychnia taltalensis,"Chile : 02 Antofagasta (Quebrada de San Ramón, 260-920m)",NA,23/11/02,Same locality as PH258,clcactus,"Quebrada de San Ramón,, 02 Antofagasta, Chile",direct,-25.38226,-70.45201
PH 656.05,Paul Hoxey,Eulychnia taltalensis,"Punta Tragagente, quebrada North of Botija, Antofagasta, Chile 440m",NA,22/11/06,NA,clcactus,"Punta Tragagente, quebrada North of Botija, Antofagasta, Chile",direct,-23.103225213989,-70.443314803039
PH 658.05,Paul Hoxey,Eulychnia taltalensis,"Chile : 02 Antofagasta (Quebrada Iscuña, 410-970m)",NA,23/11/06,NA,clcactus,"Quebrada Iscuña,, 02 Antofagasta, Chile",direct,-24.57435,-70.55742
PH 659.03,Paul Hoxey,Eulychnia taltalensis,"North of Caleta Olivia, North of Taltal, Antofagasta, Chile 270m",NA,24/11/06,NA,clcactus,"Caleta Olivia, North of Taltal, Antofagasta, Chile",direction_only,-25.410336734685,-70.48995277323
PH 660.05,Paul Hoxey,Eulychnia taltalensis,"Coastal hills North of Paposo, Antofagasta, Chile 1220m",NA,24/11/06,NA,clcactus,"Coastal hills North of Paposo, Antofagasta, Chile",direct,-25.0078338,-70.4647483
PH 662.03,Paul Hoxey,Eulychnia taltalensis,"Quebrada Bandurrias, South of Paposo, Antofagasta, Chile 770-860m",NA,25/11/06,NA,clcactus,"Quebrada Bandurrias, South of Paposo, Antofagasta, Chile",direct,-23.583196517415,-70.392991345643
PH 663.04,Paul Hoxey,Eulychnia taltalensis,"Quebrada Agua de Cascabeles, Antofagasta, Chile 560-780m",NA,26/11/06,NA,clcactus,"Quebrada Agua de Cascabeles, Antofagasta, Chile",direct,-25.2803207,-70.3290791
PH 664.03,Paul Hoxey,Eulychnia taltalensis,"Chile : 02 Antofagasta (Quebrada Taltal, inland from Taltal, 560m)",NA,26/11/06,NA,clcactus,"Quebrada Taltal, inland from Taltal,, 02 Antofagasta, Chile",direct,-25.557547807982,-70.356120171141
PH 665.04,Paul Hoxey,Eulychnia taltalensis,"Chile : 02 Antofagasta (Quebrada de San Ramón, 30-580m)",NA,27/11/06,NA,clcactus,"Quebrada de San Ramón,, 02 Antofagasta, Chile",direct,-25.38226,-70.45201
KP 956,Petr Kupcak,Eulychnia taltalensis,"Chile : Antofagasta (Taltal City back to Ruta 5 Norte , off road right side 293 m)",NA,2008,LONG BROWN TILL BLACK SPINY FORM,clcactus,"Taltal City back to Ruta 5 Norte , off road right side, Antofagasta, Chile",direct,-23.690986091964,-70.278737602938
KBC 956,Petr Kupcak + Josef Bis,Eulychnia taltalensis,"Chile : Antofagasta (Taltal City back to Ruta 5 Norte , off road right side 293 m)",NA,2008,LONG BROWN TILL BLACK SPINY FORM,clcactus,"Taltal City back to Ruta 5 Norte , off road right side, Antofagasta, Chile",direct,-23.690986091964,-70.278737602938
RAP 321,Raimondo Paladini,Eulychnia taltalensis,"Chile : Antofagasta (Taltal, Monte Perales 500 mt)",NA,jan.- feb. 2014.,NA,clcactus,"Taltal, Monte Perales 500 mt, Antofagasta, Chile",direct,-25.03514,-70.47454
RD 53,Rodrigo Dacal Barlow,Eulychnia taltalensis,"Chile : Antofagasta II (norte taltal, 10-100 m)",NA,15/02/2011,NA,clcactus,"norte taltal,, Antofagasta II, Chile",direct,-25.4118772,-69.1522303
