field_number,collector,species,locality,altitude,date,notes,source,geocode_query,geocode_type,lat,lon
CSD 62,"Jaromír Chvastek, Roman Staník, Igor Dráb",thelocactus conothelos,"Tula, Tamaulipas, Mexico",27/04/1997,27/04/1997,= IDD67,bcss,"Tula, Tamaulipas, Mexico",direct,22.9478816,-99.8055882
CZ 123,"Jaromír Chvastek, Jaroslav Žvak",thelocactus conothelos,"Doctor Arroyo, Nuevo León, Mexico",1987/12/16,1987/12/16,NA,bcss,"Doctor Arroyo, Nuevo León, Mexico",direct,23.8042046,-100.2256635
DAR 115,Amante Darmanin,thelocactus conothelos,"Tula, Tamaulipas, Mexico",NA,NA,NA,bcss,"Tula, Tamaulipas, Mexico",direct,22.9478816,-99.8055882
DAR 15,Amante Darmanin,thelocactus conothelos,"Doctor Arroyo, Nuevo León, Mexico",NA,NA,NA,bcss,"Doctor Arroyo, Nuevo León, Mexico",direct,23.8042046,-100.2256635
DAR 198,Amante Darmanin,thelocactus conothelos,"La Perdida, Tamaulipas, Mexico",NA,NA,NA,bcss,"La Perdida, Tamaulipas, Mexico",direct,23.5459106,-99.858352
GL 158,Gary Loos,thelocactus conothelos v. aurantiacus,"Zaragoza, Nuevo Leon, Mexico",NA,NA,NA,bcss,"Zaragoza, Nuevo Leon, Mexico",direct,24.8514442,-99.5584592
GL 758,Gary Loos,thelocactus conothelos v. aurantiacus,"Zaragoza, Nuevo Leon, Mexico",NA,NA,NA,bcss,"Zaragoza, Nuevo Leon, Mexico",direct,24.8514442,-99.5584592
GL&F 5529,"Charles (Charlie) Edward Glass, Robert Alan (Bob) Foster (also see notes)",thelocactus conothelos v. argenteus,"Near Ascension, Cerro Hijo, Nuevo Leon, Mexico",NA,NA,NA,bcss,"Near Ascension, Cerro Hijo, Nuevo Leon, Mexico",direct,24.25994,-99.95372
GL&F 758,"Charles (Charlie) Edward Glass, Robert Alan (Bob) Foster (also see notes)",thelocactus conothelos v. aurantiacus,"Zaragoza, Nuevo Leon, Mexico",NA,NA,NA,bcss,"Zaragoza, Nuevo Leon, Mexico",direct,24.8514442,-99.5584592
GM 390,Grzegorz Matuszewski,thelocactus conothelos,La Perdida,1435m,yellow central spines,yellow central spines,bcss,La Perdida,direct,18.0307856,-90.5765634
GM 396,Grzegorz Matuszewski,thelocactus conothelos v. argenteus,Sandia,1900m,NA,NA,bcss,Sandia,direct,-13.833333,-69.333333
GM 399,Grzegorz Matuszewski,thelocactus conothelos v. argenteus,Sandia,1700m,NA,NA,bcss,Sandia,direct,-13.833333,-69.333333
GM 41,Grzegorz Matuszewski,thelocactus conothelos,Las Javillas M61-,NA,NA,NA,bcss,Las Javillas M61-,direct,10.8028612,-71.8522543
GM 46,Grzegorz Matuszewski,thelocactus conothelos v. argenteus,Sandia -Puentes,1900m,NA,NA,bcss,Sandia -Puentes,direct,34.042111280251,-117.976472545817
GOMEZ 1250,Carlos Gómez Hinostrosa,thelocactus conothelos,"Mier y Noriega, Nuevo Leon, Mexico",NA,NA,NA,bcss,"Mier y Noriega, Nuevo Leon, Mexico",direct,23.4022432,-100.1389355
GOMEZ 1250,Carlos Gómez Hinostrosa,thelocactus conothelos,"Mier y Noriega, Nuevo Leon, Mexico",NA,NA,NA,bcss,"Mier y Noriega, Nuevo Leon, Mexico",direct,23.4022432,-100.1389355
GOMEZ-H 1250,Carlos Gómez Hinostrosa,thelocactus conothelos,"Mier y Noriega, Nuevo Leon, Mexico",NA,NA,NA,bcss,"Mier y Noriega, Nuevo Leon, Mexico",direct,23.4022432,-100.1389355
GOMEZ-H 1250,Carlos Gómez Hinostrosa,thelocactus conothelos,"Mier y Noriega, Nuevo Leon, Mexico",NA,NA,NA,bcss,"Mier y Noriega, Nuevo Leon, Mexico",direct,23.4022432,-100.1389355
HT 1068,P. Hallet (plants collected by Alfred Bernhard Lau),thelocactus conothelos v. aurantiacus,"Aramberri, Nuevo Leon, Mexico",900-1300m,26/11/1974,"together with L1063, L1064, L1069",bcss,"Aramberri, Nuevo Leon, Mexico",direct,24.2217256,-99.9241345
HT 663,P. Hallet (plants collected by Alfred Bernhard Lau),thelocactus conothelos v. argenteus,"road from Ascension to Sandia, Nuevo Leon, Mexico",2200m,3/3/1974,NA,bcss,"road from Ascension to Sandia, Nuevo Leon, Mexico",direct,24.32392,-99.9141
HT 731,P. Hallet (plants collected by Alfred Bernhard Lau),thelocactus conothelos,"road from Cardenas to La Jolla, San Luis Potosi, Mexico",1600-1800m,16/11/1974,"together with Thelocactus bicolor, Astrophythum myriostigma",bcss,"road from Cardenas to La Jolla, San Luis Potosi, Mexico",direct,21.999450886,-99.642043381
IDD 105/99,Igor D. Dráb,thelocactus conothelos fma.,"Turn to Miquihuana, Tamaulipas, Mexico",30/04/2003,30/04/2003,= IDD645; Altamira form,bcss,"Turn to Miquihuana, Tamaulipas, Mexico",direct,23.619121261,-99.773914264
IDD 107/99,Igor D. Dráb,thelocactus conothelos fma.,"At the turn off towards Villa de Bustamante, Tamaulipas, Mexico",30/04/2003,30/04/2003,= IDD647; red flower!,bcss,"At the turn off towards Villa de Bustamante, Tamaulipas, Mexico",direct,23.32679751,-99.872678882
IDD 114,Igor D. Dráb,thelocactus conothelos,"Bad road behind Palmas, Guerrero, San Luis Potosí, Mexico",01/05/1997,01/05/1997,= CSD109,bcss,"Bad road behind Palmas, Guerrero, San Luis Potosí, Mexico",direct,21.550753611,-99.791512222
IDD 120,Igor D. Dráb,thelocactus conothelos,"Behind Matehuala towards Doctor Arroyo, La Soledad, San Luis Potosí, Mexico",02/05/1997,02/05/1997,= CSD115,bcss,"Behind Matehuala towards Doctor Arroyo, La Soledad, San Luis Potosí, Mexico",direct,22.415,-101.154721944
IDD 127,Igor D. Dráb,thelocactus conothelos fma. sausieri,"Towards Doctor Arroyo, Nuevo León, Mexico",02/05/1997,02/05/1997,= CSD122,bcss,"Towards Doctor Arroyo, Nuevo León, Mexico",direct,23.860108379,-100.306266485
IDD 128,Igor D. Dráb,thelocactus conothelos,"Lobera de Portillo, Nuevo León, Mexico",02/05/1997,02/05/1997,= CSD123,bcss,"Lobera de Portillo, Nuevo León, Mexico",direct,23.572674167,-100.213333056
IDD 135,Igor D. Dráb,thelocactus conothelos,"Mier y Noriega, Nuevo León, Mexico",03/05/1997,03/05/1997,= CSD129,bcss,"Mier y Noriega, Nuevo León, Mexico",direct,23.4022432,-100.1389355
IDD 144,Igor D. Dráb,thelocactus conothelos v. aurantiacus,"Aramberi, Nuevo León, Mexico",04/05/1997,04/05/1997,= CSD137,bcss,"Aramberi, Nuevo León, Mexico",direct,25.6681685,-100.1275011
IDD 159,Igor D. Dráb,thelocactus conothelos v. aurantiacus,"Marmolejo, Aramberi, Nuevo León, Mexico",05/05/1997,05/05/1997,= CSD149,bcss,"Marmolejo, Aramberi, Nuevo León, Mexico",direct,24.134801111,-99.784346389
IDD 365,Igor D. Dráb,thelocactus conothelos v. argenteus,"Puentes, km 25.5 towards Sandia Victoria, Nuevo León, Mexico",24/10/2000,24/10/2000,NA,bcss,"Puentes, km 25.5 towards Sandia Victoria, Nuevo León, Mexico",direct,24.20089,-100.07641
IDD 49A/99,Igor D. Dráb,thelocactus conothelos v. argenteus,"Past the village, to the right, km 19, Sandia La Victoria, Nuevo León, Mexico",23/04/2003,23/04/2003,= IDD587,bcss,"Past the village, to the right, km 19, Sandia La Victoria, Nuevo León, Mexico",direct,24.20089,-100.07641
