field_number,collector,species,locality,altitude,date,notes,source,geocode_query,geocode_type,lat,lon
"GC 1048,05",Graham Charles,Melocactus salvadorensis,Brazil :  (West of Jequié),NA,NA,NA,clcactus,"West of Jequié, Brazil",direct,-13.8551593,-40.0916162
"GC 1050,02",Graham Charles,Melocactus salvadorensis  aff.,Brazil :  (Milagres),NA,NA,NA,clcactus,"Milagres, Brazil",direct,-12.864635,-39.861092
pm 126,Ken Preston-Mafham,Melocactus salvadorensis,"6km South of Milagres, Brazil",NA,NA,NA,clcactus,"Milagres, Brazil",offset_adjusted,-12.918594296355122,-39.861092
pm 129,Ken Preston-Mafham,Melocactus salvadorensis,"Jequie, Brazil",NA,NA,NA,clcactus,"Jequie, Brazil",direct,-13.8604033,-40.0719627
HU 301,"Leopoldo Horst, later, Kurt-Ingo Horst",Melocactus salvadorensis,"Bananeiras, Bahia, Brazil",NA,24/05/1905,NA,clcactus,"Bananeiras, Bahia, Brazil",direct,-10.608216,-40.31353
HU 535,"Leopoldo Horst, later, Kurt-Ingo Horst",Melocactus salvadorensis,"2 km North-West of Jacaraci, Bahia, Brazil",NA,NA,NA,clcactus,"Jacaraci, Bahia, Brazil",offset_adjusted,-14.833034497842862,-42.446052664736456
HU 576,"Leopoldo Horst, later, Kurt-Ingo Horst",Melocactus salvadorensis,"Licinio de Almeida, Bahia, Brazil",NA,NA,NA,clcactus,"Licinio de Almeida, Bahia, Brazil",direct,-14.6835152,-42.5064545
NPT 1523,Nigel Paul Taylor,Melocactus salvadorensis,"Brumado w 36km, BR 030 towards Caetite, Bahia, Brazil 660m",NA,02/02/91,NA,clcactus,"Brumado w 36km, BR 030 towards Caetite, Bahia, Brazil",direct,-14.0688042,-42.4851241
NPT 1542,Nigel Paul Taylor,Melocactus salvadorensis,"BR 030 25km along towards Sussuarana, Bahia, Brazil 400m",NA,03/02/91,NA,clcactus,"BR 030 25km along towards Sussuarana, Bahia, Brazil",direct,-12.939117,-38.4356201
NPT 1545,Nigel Paul Taylor,Melocactus salvadorensis,"BR 030 54km along towards Sussuarana, Bahia, Brazil 400m",NA,03/02/91,NA,clcactus,"BR 030 54km along towards Sussuarana, Bahia, Brazil",direct,-12.939117,-38.4356201
NPT 1549,Nigel Paul Taylor,Melocactus salvadorensis,"Contendas do Sincorá 34km towards MaracÃ¡s, Bahia, Brazil 380m",NA,04/02/91,NA,clcactus,"Contendas do Sincorá 34km towards MaracÃ¡s, Bahia, Brazil",direct,-13.7627098,-41.0410047
NPT 1553,Nigel Paul Taylor,Melocactus salvadorensis,"Porto Alegre e 6-7km, Bahia, Brazil 300m",NA,04/02/91,NA,clcactus,"Porto Alegre e 6-7km, Bahia, Brazil",direct,-10.346277998922,-39.836820000707
NPT 1580,Nigel Paul Taylor,Melocactus salvadorensis,"Iañu w 5.5km, Bahia, Brazil 300m",NA,07/02/91,NA,clcactus,"Iañu w 5.5km, Bahia, Brazil",direct,-12.91868798105,-38.435754961537
NPT 1609,Nigel Paul Taylor,Melocactus salvadorensis,"Baixa Grande e 42.5km, BA 052, Bahia, Brazil 310m",NA,09/02/91,NA,clcactus,"Baixa Grande e 42.5km, BA 052, Bahia, Brazil",direct,-12.050447119824,-39.980397874082
NPT 1611,Nigel Paul Taylor,Melocactus salvadorensis,"Ipirá e 24km, BA 052, Bahia, Brazil 300m",NA,09/02/91,NA,clcactus,"Ipirá e 24km, BA 052, Bahia, Brazil",direct,-12.15705931469,-39.752231477151
PCO 1188-01,Philippe Corman,Melocactus salvadorensis,Brazil : Bahia (Feira de Santana-Morro do Chapeu),NA,2008,NA,clcactus,"Feira de Santana-Morro do Chapeu, Bahia, Brazil",direct,-12.230257064677,-38.959457780681
