field_number,collector,species,locality,altitude,date,notes,source,geocode_query,geocode_type,lat,lon
GBG 88/445,German Brazil Group,pilosocereus pachycladus,"Seabra, Bahia, Brazil",1988,1988,"=HU906, GH445, UES102",bcss,"Seabra, Bahia, Brazil",direct,-12.4172071,-41.772051
GC 1007.01,Graham Charles,pilosocereus pachycladus,West of Morro do Chapéu,NA,NA,NA,bcss,Morro do Chapéu,direction_only,-11.5500293,-41.1570248
GC 1008.07,Graham Charles,pilosocereus pachycladus,San Rafael,NA,NA,NA,bcss,San Rafael,direct,37.9747795,-122.5316686
GC 1009.03,Graham Charles,pilosocereus pachycladus,North of Gruta dos Brejões,NA,NA,NA,bcss,Gruta dos Brejões,direction_only,-11.007223,-41.4345838
GC 1013.06,Graham Charles,pilosocereus pachycladus,West of Seabra,NA,NA,NA,bcss,Seabra,direction_only,-12.4172071,-41.772051
GC 1014.06,Graham Charles,pilosocereus pachycladus,Porta Nova,NA,NA,NA,bcss,Porta Nova,direct,37.1331018,-7.6482087
GC 1015.06,Graham Charles,pilosocereus pachycladus,Porta Nova,NA,NA,NA,bcss,Porta Nova,direct,37.1331018,-7.6482087
GC 1017.05,Graham Charles,pilosocereus pachycladus,Iuiú,NA,NA,NA,bcss,Iuiú,direct,-14.4113008,-43.5508641
GC 1018.02,Graham Charles,pilosocereus pachycladus,Caetité,NA,NA,NA,bcss,Caetité,direct,-14.0691776,-42.4852428
GC 1019.05,Graham Charles,pilosocereus pachycladus,Brejinho das Ametistas,NA,NA,NA,bcss,Brejinho das Ametistas,direct,-14.2868643,-42.5140263
GC 1020.07,Graham Charles,pilosocereus pachycladus,North of Licinio de Almeida,NA,NA,NA,bcss,Licinio de Almeida,direction_only,-14.6835152,-42.5064545
GC 1021.06,Graham Charles,pilosocereus pachycladus,Serra Escura,NA,NA,NA,bcss,Serra Escura,direct,-12.7704741,-41.4032006
GC 1026.06,Graham Charles,pilosocereus pachycladus,Pedra Azul,cenepequei,cenepequei,cenepequei,bcss,Pedra Azul,direct,-16.0058567,-41.2793731
GC 1027.05,Graham Charles,pilosocereus pachycladus,East of Montes Claros,cenepequei,cenepequei,cenepequei,bcss,Montes Claros,direction_only,-16.7495727,-43.8687268
GC 1032.05,Graham Charles,pilosocereus pachycladus,East of Mato Verde,NA,NA,NA,bcss,Mato Verde,direction_only,-15.3942731,-42.8624286
GC 352.1,Graham Charles,pilosocereus pachycladus,West of Morro do Chapéu,NA,NA,NA,bcss,Morro do Chapéu,direction_only,-11.5500293,-41.1570248
GC 353.06,Graham Charles,pilosocereus pachycladus,San Rafael,NA,NA,NA,bcss,San Rafael,direct,37.9747795,-122.5316686
GC 354.05,Graham Charles,pilosocereus pachycladus,West of Morro do Chapéu,NA,NA,NA,bcss,Morro do Chapéu,direction_only,-11.5500293,-41.1570248
GC 358.03,Graham Charles,pilosocereus pachycladus,Vargea Nova,NA,NA,NA,bcss,Vargea Nova,direct,-11.2573931,-40.9423272
