field_number,collector,species,locality,date,notes
"GC 358,03",Graham Charles,Pilosocereus pachycladus,Brazil :  (Vargea Nova),NA,NA
"GC 368,05",Graham Charles,Pilosocereus pachycladus,Brazil :  (W. of Petrolina),NA,NA
"GC 369,04",Graham Charles,Pilosocereus pachycladus,Brazil :  (S. of Sento Sé),NA,NA
"GC 370,03",Graham Charles,Pilosocereus pachycladus,Brazil :  (S. of Sento Sé),NA,NA
"GC 371,04",Graham Charles,Pilosocereus pachycladus,Brazil :  (S. of Sento Sé),NA,NA
"GC 378,03",Graham Charles,Pilosocereus pachycladus,Brazil :  (Xiche Xiche),NA,NA
"GC 380,06",Graham Charles,Pilosocereus pachycladus,Brazil :  (Mata dos Mendes),NA,NA
"GC 381,04",Graham Charles,Pilosocereus pachycladus,Brazil :  (Piaté),NA,NA
"GC 492,06",Graham Charles,Pilosocereus pachycladus  (woolly),Brazil :  (W Itaobim),NA,NA
"GC 516,05",Graham Charles,Pilosocereus pachycladus,Brazil :  (E Mato Verde),NA,NA
"GC 519,06",Graham Charles,Pilosocereus pachycladus,Brazil :  (N  Licinio de Armeida),NA,NA
"GC 520,04",Graham Charles,Pilosocereus pachycladus,Brazil :  (SW Brejinho das Ametistas),NA,NA
"GC 522,09",Graham Charles,Pilosocereus pachycladus,Brazil :  (Porto Novo),NA,NA
"GC 524,06",Graham Charles,Pilosocereus pachycladus,Brazil :  (W Seabra),NA,NA
"GC 527,06",Graham Charles,Pilosocereus pachycladus,Brazil :  (N of Morro do Chapéu),NA,NA
"GC 529,1",Graham Charles,Pilosocereus pachycladus,Brazil :  (N of Morro do Chapéu),NA,NA
"GC 643,07",Graham Charles,Pilosocereus pachycladus,Brazil :  (San Rafael),NA,NA
"GC 644,05",Graham Charles,Pilosocereus pachycladus,Brazil :  (San Rafael),NA,NA
"GC 645,1",Graham Charles,Pilosocereus pachycladus,Brazil :  (Morro do Chapéu),NA,NA
"GC 649,03",Graham Charles,Pilosocereus pachycladus,Brazil :  (Gruta dos Brejões),NA,NA
"GC 656,04",Graham Charles,Pilosocereus pachycladus,Brazil :  (Road to Barra),NA,NA
"GC 667,06",Graham Charles,Pilosocereus pachycladus,Brazil :  (Porta Nova),NA,NA
"GC 668,06",Graham Charles,Pilosocereus pachycladus,Brazil :  (Porta Nova),NA,NA
"GC 670,05",Graham Charles,Pilosocereus pachycladus,Brazil :  (Iuiú),NA,NA
"GC 671,02",Graham Charles,Pilosocereus pachycladus,Brazil :  (Caetité),NA,NA
"GC 672,04",Graham Charles,Pilosocereus pachycladus,Brazil :  (Brejinho das Ametistas),NA,NA
"GC 673,06",Graham Charles,Pilosocereus pachycladus,Brazil :  (N. of Licinio de Almeida),NA,NA
"GC 674,05",Graham Charles,Pilosocereus pachycladus,Brazil :  (E. of Mato Verde),NA,NA
"GC 675,02",Graham Charles,Pilosocereus pachycladus,Brazil :  (Barrocão),NA,NA
"GC 678,06",Graham Charles,Pilosocereus pachycladus,Brazil :  (W. of Pedra Azul),NA,NA
"GC 685,05",Graham Charles,Pilosocereus pachycladus,Brazil :  (Sussuarana),NA,NA
"GC 1007,01",Graham Charles,Pilosocereus pachycladus,Brazil :  (West of Morro do Chapéu),NA,NA
"GC 1008,07",Graham Charles,Pilosocereus pachycladus,Brazil :  (San Rafael),NA,NA
"GC 1009,03",Graham Charles,Pilosocereus pachycladus,Brazil :  (North of Gruta dos Brejões),NA,NA
"GC 1013,06",Graham Charles,Pilosocereus pachycladus,Brazil :  (West of Seabra),NA,NA
"GC 1014,06",Graham Charles,Pilosocereus pachycladus,Brazil :  (Porta Nova),NA,NA
"GC 1015,06",Graham Charles,Pilosocereus pachycladus,Brazil :  (Porta Nova),NA,NA
"GC 1017,05",Graham Charles,Pilosocereus pachycladus,Brazil :  (Iuiú),NA,NA
"GC 1018,02",Graham Charles,Pilosocereus pachycladus,Brazil :  (Caetité),NA,NA
"GC 1019,05",Graham Charles,Pilosocereus pachycladus,Brazil :  (Brejinho das Ametistas),NA,NA
"GC 1020,07",Graham Charles,Pilosocereus pachycladus,Brazil :  (North of Licinio de Almeida),NA,NA
"GC 1021,06",Graham Charles,Pilosocereus pachycladus,Brazil :  (Serra Escura),NA,NA
"GC 1026,06",Graham Charles,Pilosocereus pachycladus  (cenepequei),Brazil :  (Pedra Azul),NA,NA
"GC 1027,05",Graham Charles,Pilosocereus pachycladus  (cenepequei),Brazil :  (East of Montes Claros),NA,NA
"GC 1032,05",Graham Charles,Pilosocereus pachycladus,Brazil :  (East of Mato Verde),NA,NA
HU 147,"Leopoldo Horst, later, Kurt-Ingo Horst",Pilosocereus pachycladus ssp. pachycladus,"North of Serra do Cabral, Minas Gerais, Brazil",08/09/1981,NA
HU 402,"Leopoldo Horst, later, Kurt-Ingo Horst",Pilosocereus pachycladus,"Municipio Espinosa, Minas Gerais, Brazil",NA,NA
HU 421,"Leopoldo Horst, later, Kurt-Ingo Horst",Pilosocereus pachycladus,"Brejinho das Amethistas, Bahia, Brazil",NA,NA
HU 421a,"Leopoldo Horst, later, Kurt-Ingo Horst",Pilosocereus pachycladus,"Minas Gerais and Bahia, Brazil",NA,NA
HU 477,"Leopoldo Horst, later, Kurt-Ingo Horst",Pilosocereus pachycladus ssp. pernambucoensis,"Parnamirim road, BR 232, Pernambuco, Brazil",07/06/1905,NA
HU 714,"Leopoldo Horst, later, Kurt-Ingo Horst",Pilosocereus pachycladus,"18 km East of Rio Sao Joao, Minas Gerais, Brazil",04/09/1981,NA
HU 891,"Leopoldo Horst, later, Kurt-Ingo Horst",Pilosocereus pachycladus,"MucugÃ?, Bahia, Brazil",NA,NA
HU 906,"Leopoldo Horst, later, Kurt-Ingo Horst",Pilosocereus pachycladus,"Seabra, Bahia, Brazil",NA,NA
HU 921,"Leopoldo Horst, later, Kurt-Ingo Horst",Pilosocereus pachycladus ssp. pernambucoensis,"Tanquinho, Bahia, Brazil",NA,NA
HU 1756,"Leopoldo Horst, later, Kurt-Ingo Horst",Pilosocereus pachycladus ssp. pernambucoensis,"Alto Alegre, Piaui, Brazil",NA,NA
HU 1944,"Leopoldo Horst, later, Kurt-Ingo Horst",Pilosocereus pachycladus,"behind Cabeluda, Bahia, Brazil",NA,NA
MZ 1632,Milan Zachar,Pilosocereus pachycladus,Brazil : Minas Gerais (Mato Verde II.),NA,NA
NPT 1375,Nigel Paul Taylor,Pilosocereus pachycladus,"Maçaroca to Barrinha, border with Municipio Juazeiro towards Senhor do Bonfim, Bahia, Brazil 470m",08/01/91,NA
NPT 1398,Nigel Paul Taylor,Pilosocereus pachycladus,"Jocobina w 27-28km towards Lajes, Bahia, Brazil",12/01/91,NA
NPT 1400,Nigel Paul Taylor,Pilosocereus pachycladus,"Jocobina w 27km towards Lajes, Bahia, Brazil",12/01/91,NA
NPT 1406,Nigel Paul Taylor,Pilosocereus pachycladus,"Morro do Chapeu w 21km, Bahia, Brazil",13/01/91,NA
NPT 1426,Nigel Paul Taylor,Pilosocereus pachycladus,"Santana s 28km, Bahia, Brazil 530m",15/01/91,NA
PCO 1193-02,Philippe Corman,Pilosocereus pachycladus,Brazil : Bahia (Morro do Chapeu),2008,NA
PCO 1217-04,Philippe Corman,Pilosocereus pachycladus,"Brazil : Bahia (sud de Caetité, Brejinho das A.)",2008,belle forme
RWB 464,Rudi Werner Bueneker,Pilosocereus pachycladus,Brazil  :,NA,NA
