field_number,collector,species,locality,date,notes
VCCB 1092,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Coahuila (Castillon),2008,NA
VZ 1110,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus ssp. lloydii,Mexicó : Zacatecas  (Las Norias),2008,NA
VCCB 1110,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus ssp. lloydii,Mexicó : Zacatecas  (Las Norias),2008,NA
VZD 1110,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus ssp. lloydii,Mexicó : Zacatecas  (Las Norias),2008,NA
VCCB 1115,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Coahuila  (San José Carranza),2008,NA
VZD 1115,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Coahuila  (San José Carranza),2008,NA
VZ 1115,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Coahuila  (San José Carranza),2008,NA
VZ 1121,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Durango (Las Anímas),2009,NA
VCCB 1121,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Durango (Las Anímas),2009,NA
VZD 1121,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Durango (Las Anímas),2009,NA
VZD 1271,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus ssp. hintonii,Mexicó : San Luis Potosí (Piedra Blanca),2010,NA
VZD 1291,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Coahuila (Nuevo Victoria),5-6/2011,NA
VZD 1294,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Coahuila (Guevara),5-6/2011,NA
VZD 1371,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus  v. lloyidi,Mexicó : Coahuila (El Yegual),3-4/2013,NA
VZD 1373,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus  v. lloyidi,Mexicó : Coahuila,3-4/2013,NA
VZD 1382,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Coahuila (Rancho Buenavista),3-4/2013,NA
VZD 1391,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Coahuila (San Isidro),3-4/2013,NA
VZD 1396,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Coahuila (Borrego),3-4/2013,NA
VZD 1400,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Chihuahua (El Molino),3-4/2013,NA
VZD 1402,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Durango (La Campana),3-4/2013,NA
VZD 1403,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Coahuila (Parritas),3-4/2013,NA
