field_number,collector,species,locality,date,notes
GCG 10936,GCG - gerardo.cz,Ariocarpus fissuratus ssp. fissuratus f.,"Mexicó : Chihuahua (E of El Saucito, Sra.Grande, Coayame)",nice north lloydii aff. form,nice north lloydii aff. form
GCG 10937,GCG - gerardo.cz,Ariocarpus fissuratus ssp. fissuratus,"Mexicó : Coahuila (before Purtecitos, W of Ocampo)",NA,NA
GCG 10938,GCG - gerardo.cz,Ariocarpus fissuratus ssp. fissuratus f.,"Mexicó : Coahuila (Caňon Santa Elena, Mpo. Ocampo)",very nice tubercules form,very nice tubercules form
GCG 10939,GCG - gerardo.cz,Ariocarpus fissuratus ssp. fissuratus,Mexicó : Coahuila (W of Ocampo),SELECTION silver-grey,SELECTION silver-grey
GCG 10940,GCG - gerardo.cz,Ariocarpus fissuratus ssp. hintonii,"Mexicó : San Luis Potosí (San Vincente, Sierra Jicote)",NA,NA
GCG 10957,GCG - gerardo.cz,Ariocarpus fissuratus ssp. lloydii f.,"Mexicó : Coahuila (Cinco de Mayo, Mpo.Viesca)",very nice form,very nice form
GM 039,Grzegorz Matuszewski,Ariocarpus fissuratus  v. hintonii,"Mexicó : San Louis Potosi (Palmas, 1600 m)",1996,NA
GM 111,Grzegorz Matuszewski,Ariocarpus fissuratus,"Mexicó : Coahuilauila (Cuatrocienega El Retiro, 860 m)",1996,NA
GM 239,Grzegorz Matuszewski,Ariocarpus fissuratus,"Mexicó : Coahuilauila (El Hundido, 850 m)",1997,NA
GM 629.1,Grzegorz Matuszewski,Ariocarpus fissuratus  intermedius,"Mexicó : Coahuilauila (Estanque de Leon, 1165 m)",2002,NA
GM 671.1,Grzegorz Matuszewski,Ariocarpus fissuratus,"Mexicó : Coahuilauila (San Miguel, 900 m)",2002,NA
GM 1075.10,Grzegorz Matuszewski,Ariocarpus fissuratus,"Mexicó : Coahuila (Casa Blanca, 650 m)",2007,NA
GM 1082.11,Grzegorz Matuszewski,Ariocarpus fissuratus,"Mexicó : Coahuila (El Jabali, 1300 m)",2007,NA
GM 1082.6,Grzegorz Matuszewski,Ariocarpus fissuratus,"Mexicó : Coahuila (Cero Blanco, 1220 m)",2007,NA
GM 1233.14,Grzegorz Matuszewski,Ariocarpus fissuratus,"Mexicó : Coahuila (El Retiro, 820 m)",30/10/2009,NA
GM 1233.18,Grzegorz Matuszewski,Ariocarpus fissuratus,"Mexicó : Coahuila (El Retiro, 1170 m)",30/10/2009,NA
GM 1233.23,Grzegorz Matuszewski,Ariocarpus fissuratus,"Mexicó : Coahuila (CuatroCienegas, 760 m)",30/10/2009,NA
GM 1233.28,Grzegorz Matuszewski,Ariocarpus fissuratus,"Mexicó : Coahuila (San Miguel, 900 m)",31/10/2009,NA
GM 1233.31,Grzegorz Matuszewski,Ariocarpus fissuratus,"Mexicó : Coahuila (Nuevo Milagro - S-ra Carmen, 1300 m)",31/10/2009,NA
GM 1233.9,Grzegorz Matuszewski,Ariocarpus fissuratus,"Mexicó : Coahuila (El Hundido, 820 m)",29/10/2009,NA
GM 1235.3,Grzegorz Matuszewski,Ariocarpus fissuratus,"Mexicó : Coahuila (Los Temporales, 1260 m)",02/11/2009,NA
GM 1331.11,Grzegorz Matuszewski,Ariocarpus fissuratus,"Mexicó : Chihuahua (El Fortin, 1020 m)",02/07/2010,NA
GM 1331.18,Grzegorz Matuszewski,Ariocarpus fissuratus,"Mexicó : Chihuahua (Sierra el Peguis, 1375 m)",02/07/2010,NA
GM 1334.22,Grzegorz Matuszewski,Ariocarpus fissuratus,"Mexicó : Coahuila (La Harina, 970 m)",03/07/2010,NA
GM 1501.1,Grzegorz Matuszewski,Ariocarpus fissuratus,"Mexicó : Coahuila (Las Flores, 1115 m)",03/04/2012,NA
GM 1640,Grzegorz Matuszewski,Ariocarpus fissuratus,"Mexicó : Coahuila (Hercules, 1390 m)",04/03/2014,NA
GM 1640.8,Grzegorz Matuszewski,Ariocarpus fissuratus,"Mexicó : Coahuila (El Alicante, 1290 m)",04/03/2014,NA
GM 1646.3,Grzegorz Matuszewski,Ariocarpus fissuratus,"Mexicó : Coahuila (Mun. Acuna, 1265 m)",06/03/2014,NA
HK 1239,Horst Kuenzler,Ariocarpus fissuratus,"Texas, USA",NA,NA
HK 1603,Horst Kuenzler,Ariocarpus fissuratus  v. lloydii,"Coahuila, Mexicó",NA,NA
IDD 0112,Igor D. Dráb,Ariocarpus fissuratus  v. hintonii,"Mexicó : San Luis Potosí (Palmas, pred Matehuala)",30/04/1993,CSD 107
IDD 0229,Igor D. Dráb,Ariocarpus fissuratus  v. lloydii,Mexicó : Coahuila (Parras),11/05/1993,CSD 220
